cell_id,well_id,well_name,well_column,well_row,cellline_name,cell_last_tp,cell_event,well_id,well_drug_name,well_drug_concentration,well_drug_concentration_units
6633225,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633226,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633227,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633228,69761,G01,1,7,ND50010,2,TRUE,69761,VRG0024,0.012,uM
6633229,69761,G01,1,7,ND50010,10,FALSE,69761,VRG0024,0.012,uM
6633230,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633231,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633232,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633233,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633234,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633235,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633236,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633237,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633238,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633239,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633240,69762,G02,2,7,ND50010,9,TRUE,69762,VRG0024,0.012,uM
6633241,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633242,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633243,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633244,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633245,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633246,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633247,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633248,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633249,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633250,69762,G02,2,7,ND50010,5,TRUE,69762,VRG0024,0.012,uM
6633251,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633252,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633253,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633254,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633255,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633256,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633257,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633258,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633259,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633260,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633261,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633262,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633263,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633264,69762,G02,2,7,ND50010,4,TRUE,69762,VRG0024,0.012,uM
6633265,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633266,69762,G02,2,7,ND50010,9,TRUE,69762,VRG0024,0.012,uM
6633267,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633268,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633269,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633270,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633271,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633272,69762,G02,2,7,ND50010,5,TRUE,69762,VRG0024,0.012,uM
6633273,69762,G02,2,7,ND50010,6,TRUE,69762,VRG0024,0.012,uM
6633274,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633275,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633276,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633277,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633278,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633279,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633280,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633281,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633282,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633283,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633284,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633285,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633286,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633287,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633288,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633289,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633290,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633291,69762,G02,2,7,ND50010,4,TRUE,69762,VRG0024,0.012,uM
6633292,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633293,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633294,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633295,69762,G02,2,7,ND50010,4,TRUE,69762,VRG0024,0.012,uM
6633296,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633297,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633298,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633299,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633300,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633301,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633302,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633303,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633304,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633305,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633306,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633307,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633308,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633309,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633310,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633311,69762,G02,2,7,ND50010,7,TRUE,69762,VRG0024,0.012,uM
6633312,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633313,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633314,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633315,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633316,69762,G02,2,7,ND50010,4,TRUE,69762,VRG0024,0.012,uM
6633317,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633318,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633319,69762,G02,2,7,ND50010,9,TRUE,69762,VRG0024,0.012,uM
6633320,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633321,69762,G02,2,7,ND50010,5,TRUE,69762,VRG0024,0.012,uM
6633322,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633323,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633324,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633325,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633326,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633327,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633328,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633329,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633330,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633331,69762,G02,2,7,ND50010,3,TRUE,69762,VRG0024,0.012,uM
6633332,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633333,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633334,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633335,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633336,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633337,69762,G02,2,7,ND50010,5,TRUE,69762,VRG0024,0.012,uM
6633338,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633339,69762,G02,2,7,ND50010,7,TRUE,69762,VRG0024,0.012,uM
6633340,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633341,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633342,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633343,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633344,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633345,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633346,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633347,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633348,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633349,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633350,69762,G02,2,7,ND50010,6,TRUE,69762,VRG0024,0.012,uM
6633351,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633352,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633353,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633354,69762,G02,2,7,ND50010,6,TRUE,69762,VRG0024,0.012,uM
6633355,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633356,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633357,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633358,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633359,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633360,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633361,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633362,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633363,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633364,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633365,69762,G02,2,7,ND50010,8,TRUE,69762,VRG0024,0.012,uM
6633366,69762,G02,2,7,ND50010,4,TRUE,69762,VRG0024,0.012,uM
6633367,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633368,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633369,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633370,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633371,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633372,69762,G02,2,7,ND50010,2,TRUE,69762,VRG0024,0.012,uM
6633373,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633374,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633375,69762,G02,2,7,ND50010,10,FALSE,69762,VRG0024,0.012,uM
6633376,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633377,69762,G02,2,7,ND50010,1,TRUE,69762,VRG0024,0.012,uM
6633378,69762,G02,2,7,ND50010,9,TRUE,69762,VRG0024,0.012,uM
6633379,69762,G02,2,7,ND50010,5,TRUE,69762,VRG0024,0.012,uM
6633380,69762,G02,2,7,ND50010,4,TRUE,69762,VRG0024,0.012,uM
